key	title	year	authors	url	v1_decision	v1_reason	doi
rayyan-641977861	Monitoring of Sleep Breathing States Based on Audio Sensor Utilizing Mel‐Scale Features in Home Healthcare	2023	Yu Fang and Dongbo Liu and Zhongwei Jiang and Haibin Wang	http://dx.doi.org/10.1155/2023/6197564	Include	IC-P, IC-I, IC-O	10.1155/2023/6197564
rayyan-641977862	Attention-Based Transfer Learning for Efficient Obstructive Sleep Apnea (OSA) Classification on Snore Sound	2025	Apichada Sillaparaya and Yuttapong Jiraraksopakun and Kosin Chamnongthai and Apichai Bhatranand	https://doi.org/10.1109/access.2025.3575203	Include	IC-P, IC-I, IC-C, IC-O	10.1109/access.2025.3575203
rayyan-641977863	A Cascaded Two-Stage CNN Pipeline for Audio-Based Snore and Sleep Apnea Detection on Smartphones: Reference Baselines with Multi-Seed Validation	2026	Yang L	https://github.com/somnisense/audio-sleep-cnn-baselines	Include	IC-P, IC-I, IC-C, IC-O	10.5281/zenodo.20662374
rayyan-641977864	An audio-semantic multimodal model for automatic obstructive sleep Apnea-Hypopnea Syndrome classification via multi-feature analysis of snoring sounds	2024	Xihe Qiu and Chenghao Wang and Bin Li and Huijie Tong and Xiaoyu Tan and Long Yang and Tao Jing and Jingjing Huang	https://doi.org/10.3389/fnins.2024.1336307	Include	IC-P, IC-I, IC-O	10.3389/fnins.2024.1336307
rayyan-641977865	RespireSegNet: Analyzing Sleep Breathing Patterns with Deep Audio Segmentation	2025	Yunu Kim and Jaemyung Shin and Minsam Ko	https://doi.org/10.1109/iceic64972.2025.10879700	Include	IC-P, IC-I, IC-O	10.1109/iceic64972.2025.10879700
rayyan-641977866	Diagnosis of sleep apnea by optimal fuzzy system based on respiratory signals	2024	Shahrzad Pouramirarsalani and Soozan Etemadi Maleki and Saman Rajebi and Nader Vadhani Manaf and Azade Roohany	http://dx.doi.org/10.1109/qicar61538.2024.10496649	Include	IC-P, IC-I, IC-C, IC-O	10.1109/qicar61538.2024.10496649
rayyan-641977867	Real-time sleep disorder monitoring design using dynamic temporal graphs with facial and acoustic feature fusion	2025	Fei Pei and Ying Zhou and Qiang-Qiang Fu and Hong Zhou	https://doi.org/10.3389/frai.2025.1681759	Include	IC-P, IC-I, IC-C, IC-O	10.3389/frai.2025.1681759
rayyan-641977868	Automatic cough detection via a multi-sensor smart garment using machine learning	2025	Philippe C. Dixon and Simon Dubeau and Jean-François Roy and Pierre-Alexandre Fournier	https://doi.org/10.1016/j.compbiomed.2025.110192	Exclude	EC-I	10.1016/j.compbiomed.2025.110192
rayyan-641977869	Biomedical signal interpretation and smartphone sensors for the assessment of trunk function and sleep disorders in patients with spinal cord injury	2022	Yolanda Castillo-Escario	https://doi.org/10.5821/dissertation-2117-429267	Exclude	EC-I	10.5821/dissertation-2117-429267
rayyan-641977870	SleepEcho: An AI-Based System for Real-Time Snoring Detection and Classification	2026	Kevin Franklin James and Matías García-Constantino	https://doi.org/10.1007/978-3-032-16992-1_10	Include	IC-I, IC-P, IC-O	10.1007/978-3-032-16992-1_10
