title,year,authors,url,v1_decision,v1_reason,doi,v2_decision,v2_reason
"Utilizing Accelerometer and Photoplethysmography Data from A Smartwatch for the Quantitative Detection of Adult Sleep Apnea","2024","Y Meng; W Jiang; R Guo; P Deng; Z He","https://dl.acm.org/doi/pdf/10.1145/3715020.3715066","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","10.1145/3715020.3715066","Include","IC-I"
"Accuracy of 11 wearable, nearable, and airable consumer sleep trackers: prospective multicenter validation study","2023","T Lee; Y Cho; KS Cha; J Jung; J Cho","https://mhealth.jmir.org/2023/1/e50983/","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","","Include","IC-Y, IC-P, IC-I, IC-C, IC-O"
"OSA diagnosis goes wearable: are the latest devices ready to shine?","2024","AA Chiang; E Jerkins; S Holfinger","https://pmc.ncbi.nlm.nih.gov/articles/PMC11530974/","include","IC-L; IC-T; IC-Y; IC-P; IC-I","10.5664/jcsm.11290","Exclude","EC-E"
"Recent progress in long-term sleep monitoring technology","2023","J Yin; J Xu; TL Ren","https://www.mdpi.com/2079-6374/13/3/395","include","IC-L; IC-T; IC-Y; IC-P","","Exclude","EC-E"
"Measuring sleep stages and screening for obstructive sleep apnea with a wearable multi-sensor system in comparison to polysomnography","2023","SJ Zhou; R Yang; LL Wang; M Qi; XF Yuan","https://www.tandfonline.com/doi/pdf/10.2147/NSS.S406359","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","10.2147/NSS.S406359","Exclude","EC-I"
"ADVANCED TECHNOLOGIES IN WEARABLE FOR SLEEP APNEA DIAGNOSIS: A REVIEW","","EN Selçuk; G Çakmak; M Usal","https://dergipark.org.tr/en/download/article-file/5788225","maybe","","","Exclude","EC-E"
"In-Home Sleep Monitoring using Edge Intelligence","2024","JM Torres; S Oliveira; P Sobral; RS Moreira","https://drive.google.com/file/d/1jZlT_it5coMM4QtFpmhsSiRop74gmCQV/view","include","IC-L; IC-T; IC-Y; IC-P; IC-I","10.1007/s42979-024-02928-9","Exclude","IC-C, EC-E"
"Advancements in home-based devices for detecting obstructive sleep apnea: a comprehensive study","2023","MA Espinosa; P Ponce; A Molina; V Borja; MG Torres","https://www.mdpi.com/1424-8220/23/23/9512","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-E, EC-N"
"Clinical validation of a multisensor wearable device (SOUNDI) for the diagnosis of obstructive sleep apnea (OSA)","2026","C Salito; D Bovio; C Lombardi","https://www.nature.com/articles/s41598-026-36290-y_reference.pdf","exclude","EC-I; EC-O","","",""
"Noncontact sleep monitoring with infrared video data to estimate sleep apnea severity and distinguish between positional and nonpositional sleep apnea …","2021","S Akbarian; NM Ghahjaverestan; A Yadollahi","https://www.jmir.org/2021/11/e26524/","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","","Exclude","EC-I"
